,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-02,7.139999866485596,7.210000038146973,7.119999885559082,7.159999847412109,6.985208034515381,4980666
1,2020-01-03,7.28000020980835,7.309999942779541,7.159999847412109,7.190000057220459,7.0144758224487305,2763615
2,2020-01-06,7.010000228881836,7.03000020980835,6.909999847412109,7.0,6.829113960266113,7859151
3,2020-01-07,7.230000019073486,7.255000114440918,7.079999923706055,7.099999904632568,6.92667293548584,7589056
4,2020-01-08,7.050000190734863,7.079999923706055,6.760000228881836,6.860000133514404,6.692532062530518,13449760
5,2020-01-09,6.96999979019165,7.0,6.900000095367432,6.949999809265137,6.78033447265625,6173211
6,2020-01-10,6.989999771118164,7.059999942779541,6.960000038146973,7.0,6.829113960266113,4450193
7,2020-01-13,6.980000019073486,7.059999942779541,6.980000019073486,7.019999980926514,6.848625659942627,3842992
8,2020-01-14,7.090000152587891,7.150000095367432,7.079999923706055,7.110000133514404,6.936429023742676,4958613
9,2020-01-15,7.170000076293945,7.199999809265137,7.019999980926514,7.039999961853027,6.868137359619141,10472071
10,2020-01-16,7.039999961853027,7.070000171661377,7.019999980926514,7.070000171661377,6.897405624389648,10728336
11,2020-01-17,7.119999885559082,7.150000095367432,7.099999904632568,7.150000095367432,6.975452423095703,9619822
12,2020-01-20,7.150000095367432,7.150000095367432,7.03000020980835,7.050000190734863,6.877893447875977,6159123
13,2020-01-21,7.0,7.0,6.909999847412109,6.929999828338623,6.760822772979736,6672381
14,2020-01-22,6.809999942779541,6.880000114440918,6.784999847412109,6.789999961853027,6.624240398406982,12568941
15,2020-01-23,6.789999961853027,6.829999923706055,6.650000095367432,6.659999847412109,6.4974141120910645,14837799
16,2020-01-24,6.75,6.789999961853027,6.710000038146973,6.710000038146973,6.546193599700928,9301187
17,2020-01-28,6.380000114440918,6.46999979019165,6.28000020980835,6.360000133514404,6.204738140106201,13515560
18,2020-01-29,6.440000057220459,6.539999961853027,6.389999866485596,6.510000228881836,6.351076126098633,19818269
19,2020-01-30,6.519999980926514,6.539999961853027,6.480000019073486,6.519999980926514,6.360831737518311,10004597
20,2020-01-31,6.46999979019165,6.519999980926514,6.409999847412109,6.409999847412109,6.253517150878906,10154134
21,2020-02-03,6.199999809265137,6.375,6.199999809265137,6.369999885559082,6.214493751525879,8360451
